ADUA,PAIS,COD_PAI4,COD_SAL,VIA,BANDERA,MODAD,DPTO2,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
48,403,JOR,CTG,1,434,198,5,33,KG,47964.0,1.0,51912.0,72.0,47964.0,1.0,194291.0,2.0,620830471.0
90,589,PER,BOG,4,169,198,5,33,KG,1187.0,12.0,1268.0,3.0,1187.0,12.0,9416.0,29638610.0,39.0
35,211,CHL,BUN,1,580,198,5,33,KG,16638.0,8.0,17822.0,7.0,16638.0,8.0,108999.0,68.0,354250050.0
3,589,PER,BOG,4,580,198,11,11,U,273.0,373.0,36.0,340.0,2.0,7362.0,3.0,23267843.0,5.0
3,249,USA,BOG,4,249,198,5,11,U,136621.0,6699.0,4.0,6028.0,17749.0,44.0,56172540.0,24.0,17749.0
3,249,USA,BOG,4,249,198,11,33,KG,3402.0,62.0,4103.0,12.0,3402.0,62.0,8800.0,8.0,27461177.0
3,301,GRC,BOG,4,850,198,76,11,U,6.0,2.0,1.0,5.0,1050.0,3300381.0,0.0,0.0,0.0
35,196,CRI,BUN,1,741,198,76,33,KG,324.0,364.0,5.0,324.0,939.0,2930205.0,84.0,904.0,74.0
3,391,JAM,BOG,4,169,198,25,11,U,2280.0,162.0,45.0,157.0,51.0,593.0,1859938.0,57.0,584.0
3,87,BEL,BOG,4,245,198,5,33,KG,25.0,28.0,66.0,25.0,264.0,8.0,836905.0,69.0,264.0
3,580,PAN,BOG,4,169,198,11,11,U,5.0,1.0,4.0,1.0,25.0,45.0,35.0,141517.0,39.0
19,628,GBR,SMR,1,467,198,5,33,KG,117139.0,127894.0,117139.0,78240.0,247509110.0,4.0,0.0,0.0,0.0
37,239,ECU,IPI,3,169,198,5,11,U,152.0,41.0,88.0,36.0,29.0,1058.0,84.0,3331258.0,87.0
87,911,XCF,BAQ,3,169,2,8,33,KG,3.0,2.0,3.0,2.0,3.0,2.0,65.0,205708.0,75.0
35,249,USA,CTG,1,434,107,76,11,U,15.0,2.0,8.0,2.0,8.0,2.0,25.0,7088.0,8.0
3,670,ROU,BOG,4,249,198,25,11,U,1500.0,115.0,43.0,5.0,416.0,7.0,1308517.0,17.0,0.0
37,239,ECU,IPI,3,169,198,76,33,KG,16530.0,17101.0,93.0,16530.0,14535.0,47235116.0,25.0,0.0,0.0
3,97,BOL,BUN,1,434,198,25,33,KG,4038.0,21.0,4408.0,95.0,4038.0,21.0,23777.0,67.0,75103412.0
48,611,PRI,CTG,1,741,198,13,33,KG,20400.0,21624.0,20400.0,31565.0,33.0,102587638.0,2.0,11349.0,41.0
90,169,COL,MDE,3,169,198,5,33,KG,106.0,87.0,106.0,87.0,106.0,87.0,4558.0,53.0,14353942.0
4,249,USA,BOG,4,249,198,68,11,U,723.0,103.0,59.0,103.0,59.0,10587.0,21.0,33308844.0,86.0
